split_id,split_strategy,repeat_index,fold_index,stratified_split,instance_name,dataset_type,selected_solver,true_best_solver,prediction_correct,selected_solver_objective,best_possible_objective,single_best_solver,single_best_solver_objective,selected_objective_for_scoring,single_best_objective_for_scoring,regret_vs_virtual_best,delta_vs_single_best,improvement_vs_single_best
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Early 12,real,simulated_annealing_solver,simulated_annealing_solver,True,38.0,38.0,cpsat_solver,38.0,38.0,38.0,0.0,0.0,-0.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Early 14,real,simulated_annealing_solver,simulated_annealing_solver,True,38.0,38.0,cpsat_solver,38.0,38.0,38.0,0.0,0.0,-0.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Early 15,real,simulated_annealing_solver,simulated_annealing_solver,True,38.0,38.0,cpsat_solver,38.0,38.0,38.0,0.0,0.0,-0.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Early 3,real,simulated_annealing_solver,simulated_annealing_solver,True,27.0,27.0,cpsat_solver,30.0,27.0,30.0,0.0,-3.0,3.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Early 5,real,simulated_annealing_solver,simulated_annealing_solver,True,32.0,32.0,cpsat_solver,34.0,32.0,34.0,0.0,-2.0,2.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Early 6,real,simulated_annealing_solver,simulated_annealing_solver,True,32.0,32.0,cpsat_solver,34.0,32.0,34.0,0.0,-2.0,2.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Early 8,real,simulated_annealing_solver,simulated_annealing_solver,True,32.0,32.0,cpsat_solver,34.0,32.0,34.0,0.0,-2.0,2.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Late 1,real,simulated_annealing_solver,simulated_annealing_solver,True,27.0,27.0,cpsat_solver,30.0,27.0,30.0,0.0,-3.0,3.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Late 15,real,simulated_annealing_solver,simulated_annealing_solver,True,38.0,38.0,cpsat_solver,38.0,38.0,38.0,0.0,0.0,-0.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Late 2,real,simulated_annealing_solver,simulated_annealing_solver,True,27.0,27.0,cpsat_solver,30.0,27.0,30.0,0.0,-3.0,3.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Late 3,real,simulated_annealing_solver,simulated_annealing_solver,True,27.0,27.0,cpsat_solver,30.0,27.0,30.0,0.0,-3.0,3.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Late 7,real,simulated_annealing_solver,simulated_annealing_solver,True,32.0,32.0,cpsat_solver,34.0,32.0,34.0,0.0,-2.0,2.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Late 8,real,simulated_annealing_solver,simulated_annealing_solver,True,32.0,32.0,cpsat_solver,34.0,32.0,34.0,0.0,-2.0,2.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Middle 14,real,simulated_annealing_solver,simulated_annealing_solver,True,38.0,38.0,cpsat_solver,38.0,38.0,38.0,0.0,0.0,-0.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Middle 2,real,simulated_annealing_solver,simulated_annealing_solver,True,27.0,27.0,cpsat_solver,30.0,27.0,30.0,0.0,-3.0,3.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Middle 8,real,simulated_annealing_solver,simulated_annealing_solver,True,32.0,32.0,cpsat_solver,34.0,32.0,34.0,0.0,-2.0,2.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Test Instance 4,real,simulated_annealing_solver,simulated_annealing_solver,True,5.0,5.0,cpsat_solver,10.0,5.0,10.0,0.0,-5.0,5.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,Test Instance 6,real,simulated_annealing_solver,simulated_annealing_solver,True,32.0,32.0,cpsat_solver,34.0,32.0,34.0,0.0,-2.0,2.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,synthetic_study_easy_04t_double_seed42_0016,synthetic,cpsat_solver,cpsat_solver,True,6.0,6.0,cpsat_solver,6.0,6.0,6.0,0.0,0.0,-0.0
stratified_cv_r01_f01,repeated_stratified_kfold,1,1,True,synthetic_study_easy_04t_double_seed43_0076,synthetic,cpsat_solver,cpsat_solver,True,6.0,6.0,cpsat_solver,6.0,6.0,6.0,0.0,0.0,-0.0
