benchmark_seed,instance_name,num_teams,num_slots,num_constraints,teams_is_even,estimated_minimum_slots,slot_pressure,slot_surplus,num_hard_constraints,num_soft_constraints,num_unclassified_constraints,num_constraints_missing_category,num_constraints_missing_tag,num_constraints_missing_type,ratio_hard_to_all,ratio_soft_to_all,ratio_unclassified_to_all,constraints_per_team,constraints_per_slot,constraints_per_team_slot,number_of_constraint_categories,number_of_constraint_tags,number_of_constraint_types,ratio_constraint_categories_to_constraints,ratio_constraint_tags_to_constraints,ratio_constraint_types_to_constraints,objective_present,objective_name,objective_sense,objective_is_minimization,objective_is_maximization,best_solver,objective_cpsat_round_robin,objective_random_baseline,objective_simulated_annealing_baseline,objective_timefold
42,synthetic_study_easy_04t_double_seed42_0016,4,8,4,True,6,0.75,2,2,2,0,0,0,0,0.5,0.5,0.0,1.0,0.5,0.125,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False,cpsat_round_robin,6.0,36.639427,,
42,synthetic_study_easy_04t_double_seed43_0076,4,8,4,True,6,0.75,2,2,2,0,0,0,0,0.5,0.5,0.0,1.0,0.5,0.125,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False,cpsat_round_robin,6.0,36.639427,,
42,synthetic_study_easy_04t_single_seed42_0031,4,4,4,True,3,0.75,1,1,3,0,0,0,0,0.25,0.75,0.0,1.0,1.0,0.25,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False,cpsat_round_robin,3.0,20.639427,3.0,
42,synthetic_study_easy_04t_single_seed42_0046,4,3,4,True,3,1.0,0,2,2,0,0,0,0,0.5,0.5,0.0,1.0,1.3333333333333333,0.3333333333333333,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False,cpsat_round_robin,3.0,16.639427,3.0,
42,synthetic_study_easy_04t_single_seed42_0049,4,4,4,True,3,0.75,1,2,2,0,0,0,0,0.5,0.5,0.0,1.0,1.0,0.25,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False,cpsat_round_robin,3.0,20.639427,3.0,
42,synthetic_study_easy_04t_single_seed43_0091,4,5,4,True,3,0.6,2,2,2,0,0,0,0,0.5,0.5,0.0,1.0,0.8,0.2,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False,cpsat_round_robin,3.0,24.639427,3.0,
42,synthetic_study_easy_04t_single_seed43_0106,4,3,4,True,3,1.0,0,2,2,0,0,0,0,0.5,0.5,0.0,1.0,1.3333333333333333,0.3333333333333333,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False,cpsat_round_robin,3.0,16.639427,3.0,
42,synthetic_study_easy_04t_single_seed43_0109,4,4,5,True,3,0.75,1,2,3,0,0,0,0,0.4,0.6,0.0,1.25,1.25,0.3125,5,5,2,1.0,1.0,0.4,True,weighted_soft_penalty,minimize,True,False,cpsat_round_robin,3.0,21.639427,3.0,
42,synthetic_study_easy_04t_single_seed44_0151,4,5,4,True,3,0.6,2,2,2,0,0,0,0,0.5,0.5,0.0,1.0,0.8,0.2,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False,cpsat_round_robin,3.0,24.639427,3.0,
42,synthetic_study_easy_04t_single_seed44_0166,4,3,4,True,3,1.0,0,2,2,0,0,0,0,0.5,0.5,0.0,1.0,1.3333333333333333,0.3333333333333333,4,4,2,1.0,1.0,0.5,True,weighted_soft_penalty,minimize,True,False,cpsat_round_robin,3.0,16.639427,3.0,
